zip code,Female Population
60002,11917
60004,26486
60005,14737
60007,16834
60008,11479
60010,23433
60012,5501
60013,12740
60014,24582
60015,14076
60016,30146
60018,14861
60020,5156
60021,2965
60022,4188
60025,20802
60026,7544
60029,252
60030,18974
60031,18789
60033,6523
60034,951
60035,15460
60040,2706
60041,4691
60042,4062
60043,1283
60044,5307
60045,10334
60046,17509
60047,21343
60048,14534
60050,16282
60051,12195
60053,11968
60056,27838
60060,18787
60061,13488
60062,21138
60064,7999
60067,19501
60068,19436
60069,4384
60070,8200
60071,1805
60072,498
60073,29373
60074,19575
60076,16707
60077,15291
60081,4816
60083,5418
60084,8204
60085,35835
60087,13169
60088,3606
60089,21370
60090,19029
60091,13975
60093,9822
60096,3541
60097,4689
60098,16310
60099,15698
60101,19775
60102,16519
60103,21309
60104,10132
60106,10248
60107,19647
60108,12289
60109,302
60110,19372
60111,101
60112,2387
60113,184
60115,23740
60118,7672
60119,5370
60120,24889
60123,24207
60124,10043
60126,24048
60129,92
60130,7771
60131,9353
60133,19352
60134,14834
60135,3196
60136,3411
60137,19476
60139,17228
60140,8514
60141,18
60142,14246
60143,5333
60144,29
60145,1372
60146,1248
60148,26934
60150,767
60151,2066
60152,6527
60153,12832
60154,8861
60155,3818
60156,14900
60157,1110
60160,12692
60162,4276
60163,2583
60164,10587
60165,2481
60169,17061
60171,5181
60172,12953
60173,6138
60174,16375
60175,12312
60176,5947
60177,11951
60178,10990
60180,1073
60181,14113
60184,1215
60185,17620
60187,14509
60188,21898
60189,16311
60190,5454
60191,7397
60192,8069
60193,20981
60194,9993
60195,2275
60201,22508
60202,17608
60203,2143
60301,1288
60302,16832
60304,9339
60305,5714
60401,3783
60402,32553
60403,8884
60404,10010
60406,12174
60407,884
60408,2623
60409,20782
60410,6246
60411,30741
60415,7196
60416,4493
60417,7669
60419,12284
60420,3383
60421,1884
60422,5200
60423,15702
60424,1149
60425,4874
60426,15728
60428,6853
60429,8095
60430,10588
60431,11679
60432,10175
60433,8424
60435,25950
60436,9466
60437,67
60438,15803
60439,11890
60440,26645
60441,17330
60442,5000
60443,11522
60444,835
60445,13544
60446,20488
60447,7292
60448,12509
60449,4738
60450,10447
60451,17634
60452,14745
60453,29403
60455,8697
60456,2423
60457,6731
60458,7835
60459,14603
60460,651
60461,2539
60462,21096
60463,7689
60464,5289
60465,9594
60466,12090
60467,14256
60468,2776
60469,2977
60470,329
60471,7552
60472,2593
60473,11658
60474,436
60475,4977
60476,1364
60477,19809
60478,8851
60479,407
60480,2795
60481,5706
60482,5589
60484,3587
60487,13396
60490,10566
60491,11352
60501,5770
60502,11596
60503,8949
60504,19791
60505,37927
60506,27563
60510,15222
60511,665
60512,949
60513,10171
60514,5316
60515,14733
60516,14691
60517,16136
60518,1683
60519,29
60520,1422
60521,9277
60523,5433
60525,16198
60526,6800
60527,14662
60530,223
60531,832
60532,14303
60534,5013
60536,56
60537,275
60538,13860
60539,83
60540,22862
60541,1706
60542,9138
60543,19682
60544,13889
60545,6583
60546,8107
60548,6034
60549,321
60550,831
60551,1935
60552,2187
60553,341
60554,5619
60555,6751
60556,923
60557,17
60558,6622
60559,13205
60560,11789
60561,11935
60563,18770
60564,21324
60565,20871
60585,11512
60586,24426
60601,6680
60602,589
60603,583
60604,315
60605,13902
60606,1559
60607,14325
60608,34920
60609,31521
60610,21190
60611,17075
60612,18267
60613,24674
60614,35219
60615,21301
60616,27625
60617,43036
60618,47001
60619,35221
60620,38456
60621,17387
60622,26057
60623,44751
60624,20161
60625,39509
60626,25767
60628,37829
60629,59237
60630,29230
60631,15024
60632,44565
60633,6212
60634,37798
60636,18952
60637,27581
60638,29189
60639,45002
60640,32527
60641,35532
60642,9556
60643,27180
60644,26678
60645,23871
60646,14345
60647,43968
60649,26038
60651,32961
60652,22120
60653,17741
60654,8711
60655,14860
60656,14040
60657,35730
60659,18913
60660,20612
60661,4483
60706,12394
60707,22852
60712,6673
60714,15508
60803,11893
60804,41129
60805,10480
60827,15565
60901,18476
60910,233
60911,734
60912,209
60913,704
60914,15487
60915,4948
60917,284
60918,368
60919,233
60920,73
60921,615
60922,1175
60924,775
60926,7
60927,1028
60928,432
60929,535
60930,516
60931,249
60932,37
60933,115
60934,99
60935,523
60936,2197
60938,1069
60940,1740
60941,884
60942,3004
60945,77
60946,189
60948,826
60949,271
60950,5935
60951,357
60952,388
60953,1244
60954,2933
60955,833
60957,2720
60958,1222
60959,582
60960,529
60961,402
60962,231
60963,1027
60964,2659
60966,761
60968,183
60969,15
60970,3935
60973,228
60974,191
61001,476
61006,890
61007,225
61008,17756
61010,4065
61011,1113
61012,1209
61013,252
61014,699
61015,370
61016,2347
61018,489
61019,1722
61020,1599
61021,10450
61024,1221
61025,2268
61027,8
61028,1032
61030,1273
61031,845
61032,16244
61036,3509
61037,71
61038,462
61039,439
61041,484
61042,206
61043,40
61044,176
61046,1348
61047,1066
61048,2008
61049,272
61050,218
61051,808
61052,467
61053,1341
61054,2170
61057,80
61059,139
61060,668
61061,3242
61062,910
61063,2200
61064,1661
61065,5101
61067,300
61068,6970
61070,661
61071,7126
61072,6186
61073,9909
61074,2113
61075,530
61077,20
61078,714
61079,82
61080,5464
61081,11094
61084,1591
61085,1638
61087,852
61088,2779
61089,360
61091,66
61101,10171
61102,9379
61103,12033
61104,10181
61107,16295
61108,13794
61109,13804
61111,12365
61112,73
61114,8093
61115,11784
61201,20212
61230,640
61231,2594
61232,603
61234,687
61235,697
61236,53
61238,1567
61239,635
61240,3194
61241,3444
61242,606
61243,130
61244,11532
61250,1419
61251,144
61252,2701
61254,5812
61256,962
61257,700
61258,143
61259,668
61260,523
61261,411
61262,662
61263,328
61264,5376
61265,22537
61270,3415
61272,732
61273,1554
61274,72
61275,2217
61276,66
61277,1563
61278,215
61279,410
61281,1304
61282,4151
61283,739
61284,1096
61285,726
61301,4717
61310,1971
61311,86
61312,264
61313,81
61314,437
61315,103
61316,179
61317,215
61318,416
61319,540
61320,328
61321,113
61322,628
61323,77
61324,32
61325,554
61326,1211
61327,592
61328,0
61329,668
61330,680
61331,11
61332,39
61333,128
61334,348
61335,244
61336,244
61337,209
61338,139
61340,115
61341,3997
61342,4599
61344,171
61345,402
61346,28
61348,2359
61349,390
61350,12381
61353,644
61354,5723
61356,6068
61358,151
61359,172
61360,1550
61361,562
61362,2778
61363,119
61364,10040
61367,378
61368,699
61369,868
61370,677
61372,82
61373,952
61374,52
61375,583
61376,1280
61377,779
61378,229
61379,663
61401,16669
61410,2076
61411,152
61412,757
61413,483
61414,418
61415,817
61416,143
61417,88
61418,369
61419,81
61420,575
61421,612
61422,1463
61423,311
61424,32
61425,162
61426,64
61427,1139
61428,437
61430,382
61431,187
61432,295
61433,27
61434,1434
61435,51
61436,431
61437,439
61438,407
61439,103
61440,461
61441,513
61442,379
61443,7100
61447,542
61448,1878
61449,220
61450,908
61451,206
61452,147
61453,312
61454,330
61455,11141
61458,456
61459,224
61460,132
61462,6104
61465,560
61466,174
61467,533
61468,29
61469,990
61470,287
61471,47
61472,261
61473,855
61474,116
61475,80
61476,265
61477,266
61478,156
61479,54
61480,690
61482,333
61483,1059
61484,419
61485,222
61486,672
61488,545
61489,489
61490,576
61491,1097
61501,769
61516,365
61517,1490
61519,113
61520,7849
61523,5459
61524,155
61525,4770
61526,530
