zip code,never married males
60002,32.3
60004,30.3
60005,30.5
60007,31.1
60008,35.6
60010,21.1
60012,24.3
60013,29.3
60014,33.2
60015,26.3
60016,34.1
60018,37.8
60020,37.2
60021,32.9
60022,21.6
60025,26.6
60026,26.9
60029,28.8
60030,29
60031,31.8
60033,30.5
60034,37.9
60035,22.3
60040,37
60041,33.3
60042,35.2
60043,23.4
60044,27.8
60045,28.9
60046,29.6
60047,28.2
60048,27.7
60050,31.4
60051,29.6
60053,29.8
60056,31.7
60060,31.9
60061,25.4
60062,22.7
60064,50.7
60067,31
60068,29.8
60069,27
60070,27.7
60071,30.1
60072,24.8
60073,35.8
60074,36.9
60076,31.2
60077,31.5
60081,25.8
60083,31.5
60084,30.5
60085,45.9
60087,38.4
60088,75.5
60089,24.1
60090,33.6
60091,24
60093,24.6
60096,30.7
60097,30.3
60098,33.8
60099,43
60101,36.3
60102,28.6
60103,27.1
60104,50.1
60106,35.7
60107,34.9
60108,31.9
60109,29.4
60110,39.2
60111,2
60112,30
60113,42.9
60115,59.6
60118,27.8
60119,23.4
60120,40.4
60123,39.4
60124,26.7
60126,31.2
60129,16.9
60130,43.9
60131,39.2
60133,35.2
60134,25.9
60135,34
60136,22.5
60137,28
60139,38.5
60140,21.1
60141,43.7
60142,19.5
60143,27.6
60144,28.6
60145,40.2
60146,35
60148,36.5
60150,24.8
60151,33.6
60152,21
60153,51.7
60154,29.2
60155,45.9
60156,31.3
60157,31.8
60160,44.1
60162,44.3
60163,43.7
60164,40.8
60165,45.8
60169,36.4
60171,31
60172,34.3
60173,40.9
60174,29.4
60175,31.9
60176,35.8
60177,27.8
60178,34.7
60180,28.4
60181,38.5
60184,31.1
60185,35.9
60187,36.8
60188,34.2
60189,29.8
60190,27.6
60191,33.1
60192,25.1
60193,29.6
60194,32.8
60195,38.1
60201,51.6
60202,36.9
60203,21.9
60301,39.6
60302,37
60304,35.3
60305,31.2
60401,25.5
60402,41.5
60403,43.6
60404,28.5
60406,46.8
60407,37.6
60408,30.6
60409,48.7
60410,29.4
60411,49.5
60415,37.9
60416,34.4
60417,29.2
60419,54.6
60420,31.1
60421,29.4
60422,24.3
60423,25.6
60424,27.4
60425,37.9
60426,57.5
60428,46.9
60429,46.4
60430,32.7
60431,34.9
60432,43.7
60433,44.9
60435,39.3
60436,47.1
60437,16.2
60438,39.1
60439,31.3
60440,37.7
60441,40.4
60442,31
60443,34
60444,29.6
60445,43.7
60446,34.4
60447,31.5
60448,29.4
60449,25.7
60450,30.8
60451,29.3
60452,34.9
60453,35.3
60455,33.1
60456,40.2
60457,38.7
60458,41.1
60459,34.2
60460,29.4
60461,25.4
60462,28.6
60463,26.1
60464,25.1
60465,33.5
60466,46.8
60467,26.4
60468,34.4
60469,43.7
60470,36.5
60471,46.6
60472,64.2
60473,39.9
60474,30.5
60475,33
60476,41.7
60477,33.5
60478,50.3
60479,25.4
60480,21.1
60481,28.4
60482,39.9
60484,52.5
60487,35.5
60490,28.4
60491,29.1
60501,44.4
60502,28.8
60503,25.8
60504,36.8
60505,44.4
60506,39
60510,28.8
60511,27.6
60512,22.5
60513,32.6
60514,29
60515,32.6
60516,30.8
60517,34.4
60518,27.3
60519,0
60520,26.8
60521,26.5
60523,24.3
60525,32.4
60526,28.3
60527,30.8
60530,36.8
60531,29.1
60532,39.6
60534,41
60536,22
60537,39.1
60538,32.9
60539,71.2
60540,29
60541,27.1
60542,29.9
60543,29.1
60544,27.6
60545,35.6
60546,34.7
60548,35
60549,51.7
60550,26.4
60551,53.8
60552,30.4
60553,23.5
60554,25.2
60555,33
60556,30.4
60557,0
60558,21
60559,37.1
60560,26
60561,28.9
60563,37.2
60564,25.8
60565,26.6
60585,28.1
60586,31.5
60601,44.9
60602,53.8
60603,50.2
60604,50.9
60605,50.3
60606,50.1
60607,61.3
60608,60.9
60609,51.2
60610,54.8
60611,44
60612,63.8
60613,59.2
60614,58.2
60615,56.9
60616,48.8
60617,47.1
60618,47.9
60619,57.9
60620,55
60621,63.1
60622,59.4
60623,55.4
60624,68.7
60625,46.8
60626,57.8
60628,52.6
60629,48.9
60630,36.9
60631,31.5
60632,46.9
60633,46
60634,39.3
60636,60.5
60637,63.6
60638,37.7
60639,48.3
60640,55.5
60641,43.8
60642,59.3
60643,43.3
60644,63.6
60645,40.1
60646,27.2
60647,55.9
60649,56.2
60651,53.3
60652,43.5
60653,55.3
60654,61.1
60655,35.5
60656,31.1
60657,59.7
60659,44.6
60660,56.4
60661,56.2
60706,33.4
60707,39.6
60712,26.4
60714,35
60803,42.6
60804,48.1
60805,35.6
60827,57.6
60901,43.8
60910,46.1
60911,36.9
60912,30
60913,23.6
60914,35.8
60915,37.2
60917,26.6
60918,22.1
60919,34.8
60920,28.3
60921,31.1
60922,26.9
60924,24.6
60926,0
60927,33.6
60928,31.9
60929,40.6
60930,21.9
60931,28.1
60932,0
60933,21.2
60934,18.8
60935,30.4
60936,23.2
60938,28.1
60940,31
60941,31.3
60942,24.6
60945,32
60946,29.3
60948,20.7
60949,37.3
60950,30.5
60951,27.5
60952,22.2
60953,32.7
60954,37.6
60955,33
60957,32.6
60958,55.2
60959,32.7
60960,35.2
60961,17.1
60962,30.2
60963,33.5
60964,30.4
60966,25
60968,18.4
60969,10
60970,23.7
60973,27.9
60974,21.9
61001,22.4
61006,30.5
61007,26.8
61008,31.3
61010,30.1
61011,25.5
61012,43.5
61013,23.2
61014,27.7
61015,34.5
61016,26.8
61018,22.7
61019,18.5
61020,27.2
61021,35.8
61024,26.6
61025,22.3
61027,-
61028,29.2
61030,25.1
61031,21.6
61032,30.1
61036,22.1
61037,0
61038,23.6
61039,32.6
61041,26.4
61042,49.6
61043,34
61044,21.1
61046,19.1
61047,18
61048,27.5
61049,38.8
61050,40.1
61051,27.8
61052,23.2
61053,26.5
61054,30.2
61057,40.7
61059,48.7
61060,32.1
61061,27.2
61062,25
61063,29.9
61064,29.5
61065,27.2
61067,29.7
61068,33.7
61070,41
61071,30.3
61072,23.9
61073,22.8
61074,27.8
61075,22.6
61077,0
61078,26.4
61079,54.4
61080,28.6
61081,30.6
61084,19
61085,30.9
61087,22.8
61088,25.8
61089,15.3
61091,36.4
61101,40.7
61102,43.4
61103,41.2
61104,48.6
61107,29.6
61108,36.8
61109,34.8
61111,33.1
61112,45.5
61114,25
61115,32.5
61201,42.4
61230,25.4
61231,26.1
61232,32.3
61234,29.7
61235,23.5
61236,23.9
61238,27.3
61239,31.8
61240,18
61241,24.7
61242,23.4
61243,7
61244,37.4
61250,21.5
61251,0
61252,20.3
61254,20.4
61256,23.5
61257,17.7
61258,19.4
61259,27.5
61260,18.8
61261,31.7
61262,21.7
61263,28.8
61264,27.5
61265,32.6
61270,30.1
61272,16.6
61273,24.4
61274,18.9
61275,20.1
61276,0
61277,31.3
61278,31.6
61279,23.1
61281,21.6
61282,23.9
61283,34.1
61284,28.5
61285,20.9
61301,43
61310,32
61311,11.5
61312,31
61313,39.8
61314,32.9
61315,41.7
61316,30.3
61317,34.7
61318,17.5
61319,29.3
61320,26.5
61321,27.4
61322,44
61323,24.3
61324,21.2
61325,23.7
61326,23.5
