zip,white_pop
60002,22554
60004,43525
60005,25626
60007,27578
60008,15290
60010,38758
60012,10341
60013,23950
60014,45580
60015,24916
60016,39663
60018,22112
60020,8888
60021,5086
60022,7975
60025,32810
60026,11180
60029,509
60030,32205
60031,28402
60033,12761
60034,1785
60035,27300
60040,4453
60041,8757
60042,7876
60043,2450
60044,8410
60045,18616
60046,31315
60047,36020
60048,26291
60050,30170
60051,22868
60053,14589
60056,40965
60060,30534
60061,18593
60062,33148
60064,6644
60067,30452
60068,34399
60069,7191
60070,11721
60071,3343
60072,899
60073,49601
60074,25165
60076,18991
60077,17918
60081,9668
60083,7174
60084,14182
60085,45767
60087,17858
60088,8865
60089,31117
60090,24642
60091,22613
60093,17605
60096,6444
60097,9893
60098,29738
60099,18868
60101,32051
60102,28702
60103,32864
60104,2902
60106,15572
60107,25286
60108,18197
60109,549
60110,24180
60111,199
60112,3952
60113,331
60115,33721
60118,13797
60119,9676
60120,29419
60123,30659
60124,16586
60126,42838
60129,186
60130,7572
60131,14304
60133,20425
60134,28095
60135,6238
60136,5413
60137,32879
60139,20228
60140,14805
60141,114
60142,24447
60143,9236
60144,44
60145,2820
60146,2471
60148,41559
60150,1542
60151,4065
60152,12053
60153,4011
60154,11524
60155,1498
60156,25347
60157,2139
60160,14804
60162,3078
60163,2512
60164,15543
60165,2631
60169,17884
60171,8774
60172,20575
60173,6111
60174,27272
60175,24657
60176,9257
60177,19704
60178,20086
60180,2027
60181,22032
60184,2402
60185,30387
60187,25120
60188,31682
60189,27209
60190,10181
60191,12230
60192,10349
60193,29771
60194,11342
60195,2193
60201,29520
60202,20883
60203,3195
60301,1407
60302,21212
60304,12225
60305,9177
60401,7493
60402,42262
60403,12813
60404,15438
60406,10475
60407,1800
60408,5374
60409,7990
60410,11715
60411,19488
60415,11564
60416,8655
60417,10924
60419,1456
60420,5157
60421,3718
60422,4243
60423,27692
60424,2253
60425,2427
60426,4403
60428,1685
60429,2455
60430,10616
60431,18377
60432,10086
60433,8122
60435,33669
60436,10813
60437,138
60438,16603
60439,21933
60440,25417
60441,30419
60442,9862
60443,4898
60444,1709
60445,21890
60446,23988
60447,12895
60448,24072
60449,7262
60450,20066
60451,33403
60452,25252
60453,46457
60455,14101
60456,4173
60457,12648
60458,10749
60459,24317
60460,1244
60461,1130
60462,34836
60463,13619
60464,8923
60465,15408
60466,6357
60467,24560
60468,5774
60469,4192
60470,673
60471,1704
60472,318
60473,4518
60474,891
60475,6630
60476,2178
60477,33019
60478,1864
60479,730
60480,4428
60481,11095
60482,10097
60484,549
60487,23374
60490,11612
60491,21735
60501,8336
60502,15716
60503,12217
60504,24396
60505,33061
60506,33028
60510,26958
60511,1500
60512,1459
60513,16581
60514,9246
60515,25699
60516,24863
60517,23676
60518,3271
60519,40
60520,2689
60521,15768
60523,7260
60525,27961
60526,12747
60527,20477
60530,424
60531,1675
60532,21766
60534,9031
60536,121
60537,629
60538,21144
60539,242
60540,35451
60541,3326
60542,13831
60543,32913
60544,21222
60545,11346
60546,13530
60548,10945
60549,724
60550,1617
60551,4308
60552,4542
60553,711
60554,10937
60555,11181
60556,1675
60557,33
60558,12810
60559,18053
60560,20099
60561,18576
60563,26571
60564,29059
60565,30589
60585,18871
60586,37875
60601,10012
60602,917
60603,617
60604,381
60605,15610
60606,2311
60607,16739
60608,37410
60609,29221
60610,28535
60611,24073
60612,8874
60613,40993
60614,59701
60615,11401
60616,14539
60617,29548
60618,77910
60619,835
60620,936
60621,517
60622,40528
60623,38170
60624,1058
60625,51468
60626,30620
60628,2766
60629,41175
60630,41320
60631,25800
60632,47169
60633,8987
60634,58222
60636,778
60637,7562
60638,42538
60639,30660
60640,42432
60641,45687
60642,14381
60643,11720
60644,1692
60645,27611
60646,23278
60647,67514
60649,1701
60651,8668
60652,11614
60653,1591
60654,13451
60655,25649
60656,23471
60657,60714
60659,21482
60660,28140
60661,5887
60706,21381
60707,31198
60712,7643
60714,22714
60803,15658
60804,37278
60805,14076
60827,1409
60901,23312
60910,420
60911,1524
60912,433
60913,1281
60914,25036
60915,9492
60917,565
60918,803
60919,520
60920,129
60921,1106
60922,2074
60924,1514
60926,9
60927,2120
60928,788
60929,867
60930,920
60931,494
60932,80
60933,247
60934,213
60935,1086
60936,4073
60938,1881
60940,3429
60941,1788
60942,5507
60945,153
60946,375
60948,1568
60949,488
60950,11214
60951,743
60952,691
60953,2303
60954,5296
60955,1489
60957,5268
60958,321
60959,1093
60960,1101
60961,798
60962,529
60963,2151
60964,4434
60966,1458
60968,322
60969,32
60970,6426
60973,423
60974,374
61001,1002
61006,1702
61007,493
61008,29340
61010,7792
61011,2230
61012,2315
61013,465
61014,1338
61015,779
61016,4289
61018,870
61019,3351
61020,2965
61021,20515
61024,2383
61025,4583
61027,8
61028,2122
61030,2318
61031,1572
61032,24668
61036,6541
61037,134
61038,975
61039,946
61041,924
61042,455
61043,83
61044,290
61046,2509
61047,1989
61048,3900
61049,537
61050,475
61051,1592
61052,948
61053,2568
61054,3822
61057,145
61059,239
61060,1465
61061,6220
61062,1840
61063,4288
61064,3336
61065,9599
61067,612
61068,12682
61070,1402
61071,13133
61072,11090
61073,18315
61074,4089
61075,1036
61077,40
61078,1190
61079,222
61080,9684
61081,19113
61084,2983
61085,3350
61087,1718
61088,5447
61089,710
61091,110
61101,10891
61102,10103
61103,17136
61104,11118
61107,25501
61108,21409
61109,20647
61111,21849
61112,95
61114,12841
61115,20949
61201,27097
61230,1220
61231,4960
61232,1263
61234,1362
61235,1393
61236,89
61238,3189
61239,764
61240,6055
61241,6494
61242,1199
61243,234
61244,18333
61250,2523
61251,308
61252,5200
61254,10751
61256,1875
61257,1297
61258,316
61259,1136
61260,959
61261,807
61262,1254
61263,620
61264,10016
61265,38591
61270,6729
61272,1349
61273,3116
61274,174
61275,4287
61276,53
61277,2937
61278,405
61279,888
61281,2551
61282,6146
61283,1467
61284,2105
61285,1448
61301,9973
61310,3764
61311,182
61312,478
61313,185
61314,792
61315,202
61316,315
61317,479
61318,614
61319,1048
61320,652
61321,221
61322,1024
61323,124
61324,84
61325,1082
61326,2279
61327,1331
61328,0
61329,1230
61330,1370
61331,23
61332,91
61333,250
61334,676
61335,476
61336,496
61337,415
61338,304
61340,205
61341,7478
61342,8360
61344,333
61345,845
61346,58
61348,4251
61349,818
61350,22207
61353,1211
61354,10544
61356,10680
61358,330
61359,318
61360,3542
61361,1053
61362,5094
61363,220
61364,18144
61367,693
61368,1477
61369,1541
61370,1416
61372,183
61373,1902
61374,107
61375,1162
61376,2635
61377,1590
61378,417
61379,1378
61401,27718
61410,3681
61411,363
61412,1422
61413,970
61414,895
61415,1674
61416,238
61417,210
61418,630
61419,144
61420,1144
61421,1206
61422,3063
61423,574
61424,94
61425,304
61426,106
61427,2087
61428,932
61430,768
61431,397
61432,570
61433,77
61434,2978
61435,70
61436,800
61437,858
61438,905
61439,214
61440,816
61441,1071
61442,671
61443,11778
61447,999
61448,3624
61449,458
61450,1845
61451,458
61452,307
61453,640
61454,556
61455,18621
61458,922
61459,367
61460,237
61462,10096
61465,1198
61466,394
61467,1016
61468,56
61469,2065
61470,528
61471,77
61472,505
61473,1646
61474,209
61475,152
61476,529
61477,517
61478,308
61479,206
61480,1269
61482,630
61483,2052
61484,790
61485,484
61486,1360
61488,1022
61489,941
61490,1272
61491,2040
61501,1616
61516,714
61517,3153
61519,235
61520,15710
61523,11167
61524,293
61525,7502
61526,853
61528,2418
61529,2650
